output_1001_hoss.txt																											
12																											
28																											
Time	I	Cl	PFB	UKPA	UICPMS	NO3	Mn	Fe	SO4	CaIC	CaICPMS	MgIC	MgICPMS	NaIC	NaICPMS	KIC	KICPMS	MoICPMS	VICPMS	SrICPMS	SeICPMS	DOC	Alk	ORP	pH	Cond	Temp
days	ppm	ppm	ppm	ppm	ppm	ppm	ppm	ppm	ppm	ppm	ppm	ppm	ppm	ppm	ppm	ppm	ppm	ppm	ppm	ppm	ppm	ppm	ppm	mV	std	uScm	C
0.00	484.33	7.60	544.00	0.01	0.01	0.50	0.01	0.18	205.00	61.33	50.66	28.33	26.66	148.45	128.49	96.08	93.96	0.01	0.03	0.77	0.25	182.00	184.66	132.20	8.58	1420.66	24.16
0.00	0.50	419.00	0.10	1.08	0.96	0.50	1.11	0.28	5284.00	379.50	316.00	295.50	301.00	1966.14	2083.84	21.62	16.91	0.39	0.03	3.70	0.25	24.96	541.00	119.80	7.10	9855.00	17.15
0.06	488.00	16.00	490.00	0.02	0.02	0.50	0.00	0.05	206.00	65.11	57.48	25.54	28.87	141.90	158.28	91.77	96.26	0.03	0.03	0.77	0.25	178.50	198.00	-33.30	8.31	1430.00	27.10
0.69	468.00	25.00	480.00	0.13	0.12	0.50	0.05	1.84	394.00	66.02	59.04	28.88	32.73	234.25	262.07	63.49	67.61	0.05	0.03	0.81	0.25	166.50	195.00	35.20	8.10	1700.00	19.50
1.03	410.00	77.00	420.00	0.24	0.22	0.50	0.05	0.05	1182.00	155.71	128.37	71.05	72.38	410.17	431.24	76.40	77.69	0.08	0.03	1.73	0.25	156.50	247.00	53.80	7.91	2950.00	22.30
1.59	259.00	221.00	254.00	0.49	0.49	0.50	0.10	0.05	2460.00	310.17	257.24	160.42	163.40	896.58	946.47	101.11	102.87	0.17	0.03	3.44	0.25	101.80	352.00	127.60	7.68	5210.00	15.60
1.84	205.00	232.00	199.00	0.64	0.62	0.50	0.14	0.62	3542.00	346.70	300.30	192.43	207.08	1106.60	1224.84	105.62	115.09	0.22	0.03	4.18	0.25	83.88	416.00	104.70	7.65	6500.00	22.50
2.05	155.00	270.00	157.00	0.66	0.64	0.50	0.11	0.05	4050.00	369.36	296.82	213.06	214.57	1244.46	1287.34	110.19	109.87	0.24	0.03	3.93	0.25	74.32	470.00	53.70	7.62	7140.00	22.10
2.62	80.00	347.00	79.00	0.85	0.80	0.50	0.10	0.05	4410.00	398.61	336.05	254.18	261.14	1552.16	1651.39	107.50	110.34	0.30	0.03	4.27	0.25	49.62	466.00	149.50	7.56	8550.00	16.20
2.82	61.00	375.00	58.80	0.91	0.84	0.50	0.14	0.07	4613.00	403.70	338.81	264.81	271.83	1629.07	1742.13	107.23	108.54	0.31	0.03	4.30	0.25	43.96	490.00	239.00	7.44	8930.00	21.00
3.02	48.20	383.00	47.10	0.93	0.85	0.50	0.10	0.05	4762.00	404.27	340.99	269.33	276.49	1672.90	1790.26	101.30	103.64	0.33	0.03	4.31	0.25	39.35	500.00	182.50	7.51	9100.00	21.80
3.62	26.70	401.00	26.20	1.03	0.91	0.50	0.18	0.05	4997.00	412.26	350.34	285.35	288.88	1785.82	1885.19	93.22	92.87	0.35	0.03	4.34	0.25	30.07	532.00	191.10	7.46	9400.00	16.60









